density,agents,seed,method,success,expansions,cost
0.0,6,0,cardinal,1,3,29
0.0,6,0,linear,1,3,29
0.0,6,0,mlp,1,3,29
0.0,6,1,cardinal,1,3,37
0.0,6,1,linear,1,3,37
0.0,6,1,mlp,1,2,37
0.0,6,2,cardinal,1,1,28
0.0,6,2,linear,1,1,28
0.0,6,2,mlp,1,1,28
0.0,6,3,cardinal,1,2,30
0.0,6,3,linear,1,2,30
0.0,6,3,mlp,1,2,30
0.0,6,4,cardinal,1,12,33
0.0,6,4,linear,1,12,33
0.0,6,4,mlp,1,12,33
0.0,6,5,cardinal,1,2,29
0.0,6,5,linear,1,2,29
0.0,6,5,mlp,1,2,29
0.0,6,6,cardinal,1,1,39
0.0,6,6,linear,1,1,39
0.0,6,6,mlp,1,1,39
0.0,6,7,cardinal,1,10,38
0.0,6,7,linear,1,6,38
0.0,6,7,mlp,1,11,38
0.0,6,8,cardinal,1,7,30
0.0,6,8,linear,1,7,30
0.0,6,8,mlp,1,7,30
0.0,6,9,cardinal,1,3,35
0.0,6,9,linear,1,3,35
0.0,6,9,mlp,1,3,35
0.0,6,10,cardinal,1,2,40
0.0,6,10,linear,1,2,40
0.0,6,10,mlp,1,2,40
0.0,6,11,cardinal,1,1,26
0.0,6,11,linear,1,1,26
0.0,6,11,mlp,1,1,26
0.0,6,12,cardinal,1,2,33
0.0,6,12,linear,1,2,33
0.0,6,12,mlp,1,2,33
0.0,6,13,cardinal,1,2,31
0.0,6,13,linear,1,2,31
0.0,6,13,mlp,1,2,31
0.0,6,14,cardinal,1,2,33
0.0,6,14,linear,1,2,33
0.0,6,14,mlp,1,2,33
0.0,6,15,cardinal,1,1,30
0.0,6,15,linear,1,1,30
0.0,6,15,mlp,1,1,30
0.0,6,16,cardinal,1,2,26
0.0,6,16,linear,1,2,26
0.0,6,16,mlp,1,2,26
0.0,6,17,cardinal,1,5,27
0.0,6,17,linear,1,5,27
0.0,6,17,mlp,1,5,27
0.0,6,18,cardinal,1,2,24
0.0,6,18,linear,1,2,24
0.0,6,18,mlp,1,2,24
0.0,6,19,cardinal,1,3,22
0.0,6,19,linear,1,3,22
0.0,6,19,mlp,1,3,22
0.0,6,20,cardinal,1,3,25
0.0,6,20,linear,1,3,25
0.0,6,20,mlp,1,3,25
0.0,6,21,cardinal,1,9,41
0.0,6,21,linear,1,9,41
0.0,6,21,mlp,1,10,41
0.0,6,22,cardinal,1,2,38
0.0,6,22,linear,1,2,38
0.0,6,22,mlp,1,2,38
0.0,6,23,cardinal,1,1,40
0.0,6,23,linear,1,1,40
0.0,6,23,mlp,1,1,40
0.0,6,24,cardinal,1,6,28
0.0,6,24,linear,1,7,28
0.0,6,24,mlp,1,6,28
0.0,6,25,cardinal,1,1,34
0.0,6,25,linear,1,1,34
0.0,6,25,mlp,1,1,34
0.0,6,26,cardinal,1,3,29
0.0,6,26,linear,1,3,29
0.0,6,26,mlp,1,3,29
0.0,6,27,cardinal,1,1,22
0.0,6,27,linear,1,1,22
0.0,6,27,mlp,1,1,22
0.0,6,28,cardinal,1,5,32
0.0,6,28,linear,1,5,32
0.0,6,28,mlp,1,6,32
0.0,6,29,cardinal,1,3,33
0.0,6,29,linear,1,3,33
0.0,6,29,mlp,1,3,33
0.0,6,30,cardinal,1,3,41
0.0,6,30,linear,1,3,41
0.0,6,30,mlp,1,3,41
0.0,6,31,cardinal,1,6,40
0.0,6,31,linear,1,4,40
0.0,6,31,mlp,1,6,40
0.0,6,32,cardinal,1,3,33
0.0,6,32,linear,1,3,33
0.0,6,32,mlp,1,3,33
0.0,6,33,cardinal,1,2,30
0.0,6,33,linear,1,2,30
0.0,6,33,mlp,1,2,30
0.0,6,34,cardinal,1,4,40
0.0,6,34,linear,1,4,40
0.0,6,34,mlp,1,4,40
0.0,6,35,cardinal,1,3,37
0.0,6,35,linear,1,3,37
0.0,6,35,mlp,1,3,37
0.0,6,36,cardinal,1,2,33
0.0,6,36,linear,1,2,33
0.0,6,36,mlp,1,2,33
0.0,6,37,cardinal,1,5,38
0.0,6,37,linear,1,5,38
0.0,6,37,mlp,1,5,38
0.0,6,38,cardinal,1,1,24
0.0,6,38,linear,1,1,24
0.0,6,38,mlp,1,1,24
0.0,6,39,cardinal,1,5,35
0.0,6,39,linear,1,5,35
0.0,6,39,mlp,1,5,35
0.0,6,40,cardinal,1,2,37
0.0,6,40,linear,1,2,37
0.0,6,40,mlp,1,2,37
0.0,6,41,cardinal,1,3,31
0.0,6,41,linear,1,3,31
0.0,6,41,mlp,1,3,31
0.0,6,42,cardinal,1,2,25
0.0,6,42,linear,1,2,25
0.0,6,42,mlp,1,2,25
0.0,6,43,cardinal,1,1,41
0.0,6,43,linear,1,1,41
0.0,6,43,mlp,1,1,41
0.0,6,44,cardinal,1,7,30
0.0,6,44,linear,1,7,30
0.0,6,44,mlp,1,6,30
0.0,6,45,cardinal,1,3,43
0.0,6,45,linear,1,3,43
0.0,6,45,mlp,1,3,43
0.0,6,46,cardinal,1,3,32
0.0,6,46,linear,1,3,32
0.0,6,46,mlp,1,3,32
0.0,6,47,cardinal,1,3,29
0.0,6,47,linear,1,4,29
0.0,6,47,mlp,1,4,29
0.0,6,48,cardinal,1,1,27
0.0,6,48,linear,1,1,27
0.0,6,48,mlp,1,1,27
0.0,6,49,cardinal,1,4,41
0.0,6,49,linear,1,4,41
0.0,6,49,mlp,1,4,41
0.0,6,50,cardinal,1,2,29
0.0,6,50,linear,1,2,29
0.0,6,50,mlp,1,2,29
0.0,6,51,cardinal,1,5,27
0.0,6,51,linear,1,5,27
0.0,6,51,mlp,1,5,27
0.0,6,52,cardinal,1,3,37
0.0,6,52,linear,1,3,37
0.0,6,52,mlp,1,3,37
0.0,6,53,cardinal,1,2,36
0.0,6,53,linear,1,2,36
0.0,6,53,mlp,1,3,36
0.0,6,54,cardinal,1,5,32
0.0,6,54,linear,1,5,32
0.0,6,54,mlp,1,5,32
0.0,6,55,cardinal,1,2,28
0.0,6,55,linear,1,2,28
0.0,6,55,mlp,1,3,28
0.0,6,56,cardinal,1,3,34
0.0,6,56,linear,1,3,34
0.0,6,56,mlp,1,3,34
0.0,6,57,cardinal,1,1,37
0.0,6,57,linear,1,1,37
0.0,6,57,mlp,1,1,37
0.0,6,58,cardinal,1,1,29
0.0,6,58,linear,1,1,29
0.0,6,58,mlp,1,1,29
0.0,6,59,cardinal,1,4,32
0.0,6,59,linear,1,4,32
0.0,6,59,mlp,1,4,32
0.0,6,60,cardinal,1,1,21
0.0,6,60,linear,1,1,21
0.0,6,60,mlp,1,1,21
0.0,6,61,cardinal,1,1,34
0.0,6,61,linear,1,1,34
0.0,6,61,mlp,1,1,34
0.0,6,62,cardinal,1,1,31
0.0,6,62,linear,1,1,31
0.0,6,62,mlp,1,1,31
0.0,6,63,cardinal,1,3,31
0.0,6,63,linear,1,3,31
0.0,6,63,mlp,1,3,31
0.0,6,64,cardinal,1,1,32
0.0,6,64,linear,1,1,32
0.0,6,64,mlp,1,1,32
0.0,6,65,cardinal,1,2,23
0.0,6,65,linear,1,3,23
0.0,6,65,mlp,1,3,23
0.0,6,66,cardinal,1,6,41
0.0,6,66,linear,1,5,41
0.0,6,66,mlp,1,6,41
0.0,6,67,cardinal,1,1,18
0.0,6,67,linear,1,1,18
0.0,6,67,mlp,1,1,18
0.0,6,68,cardinal,1,1,29
0.0,6,68,linear,1,1,29
0.0,6,68,mlp,1,1,29
0.0,6,69,cardinal,1,3,26
0.0,6,69,linear,1,3,26
0.0,6,69,mlp,1,3,26
0.0,6,70,cardinal,1,1,25
0.0,6,70,linear,1,1,25
0.0,6,70,mlp,1,1,25
0.0,6,71,cardinal,1,6,34
0.0,6,71,linear,1,6,34
0.0,6,71,mlp,1,19,34
0.0,6,72,cardinal,1,3,33
0.0,6,72,linear,1,3,33
0.0,6,72,mlp,1,3,33
0.0,6,73,cardinal,1,3,47
0.0,6,73,linear,1,3,47
0.0,6,73,mlp,1,3,47
0.0,6,74,cardinal,1,2,32
0.0,6,74,linear,1,2,32
0.0,6,74,mlp,1,2,32
0.0,6,75,cardinal,1,2,39
0.0,6,75,linear,1,2,39
0.0,6,75,mlp,1,2,39
0.0,6,76,cardinal,1,1,25
0.0,6,76,linear,1,1,25
0.0,6,76,mlp,1,1,25
0.0,6,77,cardinal,1,1,31
0.0,6,77,linear,1,1,31
0.0,6,77,mlp,1,1,31
0.0,6,78,cardinal,1,3,33
0.0,6,78,linear,1,3,33
0.0,6,78,mlp,1,3,33
0.0,6,79,cardinal,1,4,33
0.0,6,79,linear,1,4,33
0.0,6,79,mlp,1,4,33
0.0,8,0,cardinal,1,3,39
0.0,8,0,linear,1,3,39
0.0,8,0,mlp,1,3,39
0.0,8,1,cardinal,1,4,47
0.0,8,1,linear,1,3,47
0.0,8,1,mlp,1,3,47
0.0,8,2,cardinal,1,1,43
0.0,8,2,linear,1,1,43
0.0,8,2,mlp,1,1,43
0.0,8,3,cardinal,1,3,40
0.0,8,3,linear,1,3,40
0.0,8,3,mlp,1,3,40
0.0,8,4,cardinal,1,26,42
0.0,8,4,linear,1,27,42
0.0,8,4,mlp,1,72,42
0.0,8,5,cardinal,1,5,39
0.0,8,5,linear,1,5,39
0.0,8,5,mlp,1,5,39
0.0,8,6,cardinal,1,3,50
0.0,8,6,linear,1,3,50
0.0,8,6,mlp,1,3,50
0.0,8,7,cardinal,1,11,53
0.0,8,7,linear,1,10,53
0.0,8,7,mlp,1,13,53
0.0,8,8,cardinal,1,9,45
0.0,8,8,linear,1,9,45
0.0,8,8,mlp,1,8,45
0.0,8,9,cardinal,1,4,50
0.0,8,9,linear,1,4,50
0.0,8,9,mlp,1,4,50
0.0,8,10,cardinal,1,4,54
0.0,8,10,linear,1,3,54
0.0,8,10,mlp,1,3,54
0.0,8,11,cardinal,1,2,35
0.0,8,11,linear,1,2,35
0.0,8,11,mlp,1,2,35
0.0,8,12,cardinal,1,3,43
0.0,8,12,linear,1,3,43
0.0,8,12,mlp,1,3,43
0.0,8,13,cardinal,1,4,43
0.0,8,13,linear,1,4,43
0.0,8,13,mlp,1,4,43
0.0,8,14,cardinal,1,2,42
0.0,8,14,linear,1,2,42
0.0,8,14,mlp,1,2,42
0.0,8,15,cardinal,1,1,37
0.0,8,15,linear,1,1,37
0.0,8,15,mlp,1,1,37
0.0,8,16,cardinal,1,28,41
0.0,8,16,linear,1,11,41
0.0,8,16,mlp,1,10,41
0.0,8,17,cardinal,1,5,37
0.0,8,17,linear,1,5,37
0.0,8,17,mlp,1,6,37
0.0,8,18,cardinal,1,2,37
0.0,8,18,linear,1,2,37
0.0,8,18,mlp,1,2,37
0.0,8,19,cardinal,1,5,33
0.0,8,19,linear,1,5,33
0.0,8,19,mlp,1,5,33
0.0,8,20,cardinal,1,4,38
0.0,8,20,linear,1,4,38
0.0,8,20,mlp,1,4,38
0.0,8,21,cardinal,1,9,56
0.0,8,21,linear,1,10,56
0.0,8,21,mlp,1,9,56
0.0,8,22,cardinal,1,2,49
0.0,8,22,linear,1,2,49
0.0,8,22,mlp,1,2,49
0.0,8,23,cardinal,1,3,49
0.0,8,23,linear,1,3,49
0.0,8,23,mlp,1,4,49
0.0,8,24,cardinal,1,6,45
0.0,8,24,linear,1,7,45
0.0,8,24,mlp,1,7,45
0.0,8,25,cardinal,1,3,42
0.0,8,25,linear,1,3,42
0.0,8,25,mlp,1,2,42
0.0,8,26,cardinal,1,5,35
0.0,8,26,linear,1,6,35
0.0,8,26,mlp,1,5,35
0.0,8,27,cardinal,1,4,42
0.0,8,27,linear,1,5,42
0.0,8,27,mlp,1,7,42
0.0,8,28,cardinal,1,8,42
0.0,8,28,linear,1,8,42
0.0,8,28,mlp,1,9,42
0.0,8,29,cardinal,1,3,49
0.0,8,29,linear,1,3,49
0.0,8,29,mlp,1,3,49
0.0,8,30,cardinal,1,4,49
0.0,8,30,linear,1,5,49
0.0,8,30,mlp,1,5,49
0.0,8,31,cardinal,1,7,51
0.0,8,31,linear,1,10,51
0.0,8,31,mlp,1,7,51
0.0,8,32,cardinal,1,3,40
0.0,8,32,linear,1,3,40
0.0,8,32,mlp,1,3,40
0.0,8,33,cardinal,1,2,39
0.0,8,33,linear,1,2,39
0.0,8,33,mlp,1,2,39
0.0,8,34,cardinal,1,5,46
0.0,8,34,linear,1,5,46
0.0,8,34,mlp,1,5,46
0.0,8,35,cardinal,1,5,50
0.0,8,35,linear,1,5,50
0.0,8,35,mlp,1,6,50
0.0,8,36,cardinal,1,3,47
0.0,8,36,linear,1,3,47
0.0,8,36,mlp,1,5,47
0.0,8,37,cardinal,1,6,45
0.0,8,37,linear,1,6,45
0.0,8,37,mlp,1,6,45
0.0,8,38,cardinal,1,3,32
0.0,8,38,linear,1,3,32
0.0,8,38,mlp,1,3,32
0.0,8,39,cardinal,1,12,51
0.0,8,39,linear,1,12,51
0.0,8,39,mlp,1,9,51
0.0,8,40,cardinal,1,3,44
0.0,8,40,linear,1,3,44
0.0,8,40,mlp,1,3,44
0.0,8,41,cardinal,1,5,46
0.0,8,41,linear,1,5,46
0.0,8,41,mlp,1,5,46
0.0,8,42,cardinal,1,8,35
0.0,8,42,linear,1,8,35
0.0,8,42,mlp,1,8,35
0.0,8,43,cardinal,1,3,56
0.0,8,43,linear,1,3,56
0.0,8,43,mlp,1,3,56
0.0,8,44,cardinal,1,9,41
0.0,8,44,linear,1,9,41
0.0,8,44,mlp,1,8,41
0.0,8,45,cardinal,1,5,56
0.0,8,45,linear,1,5,56
0.0,8,45,mlp,1,5,56
0.0,8,46,cardinal,1,5,41
0.0,8,46,linear,1,5,41
0.0,8,46,mlp,1,5,41
0.0,8,47,cardinal,1,4,45
0.0,8,47,linear,1,6,45
0.0,8,47,mlp,1,4,45
0.0,8,48,cardinal,1,1,35
0.0,8,48,linear,1,1,35
0.0,8,48,mlp,1,1,35
0.0,8,49,cardinal,1,4,54
0.0,8,49,linear,1,5,54
0.0,8,49,mlp,1,4,54
0.0,8,50,cardinal,1,3,37
0.0,8,50,linear,1,3,37
0.0,8,50,mlp,1,3,37
0.0,8,51,cardinal,1,7,41
0.0,8,51,linear,1,7,41
0.0,8,51,mlp,1,10,41
0.0,8,52,cardinal,1,3,45
0.0,8,52,linear,1,3,45
0.0,8,52,mlp,1,3,45
0.0,8,53,cardinal,1,4,42
0.0,8,53,linear,1,4,42
0.0,8,53,mlp,1,5,42
0.0,8,54,cardinal,1,8,43
0.0,8,54,linear,1,5,43
0.0,8,54,mlp,1,5,43
0.0,8,55,cardinal,1,3,42
0.0,8,55,linear,1,3,42
0.0,8,55,mlp,1,3,42
0.0,8,56,cardinal,1,7,40
0.0,8,56,linear,1,7,40
0.0,8,56,mlp,1,7,40
0.0,8,57,cardinal,1,2,44
0.0,8,57,linear,1,2,44
0.0,8,57,mlp,1,2,44
0.0,8,58,cardinal,1,14,44
0.0,8,58,linear,1,8,44
0.0,8,58,mlp,1,15,44
0.0,8,59,cardinal,1,5,40
0.0,8,59,linear,1,5,40
0.0,8,59,mlp,1,5,40
0.0,8,60,cardinal,1,7,39
0.0,8,60,linear,1,8,39
0.0,8,60,mlp,1,8,39
0.0,8,61,cardinal,1,4,42
0.0,8,61,linear,1,4,42
0.0,8,61,mlp,1,4,42
0.0,8,62,cardinal,1,1,42
0.0,8,62,linear,1,1,42
0.0,8,62,mlp,1,1,42
0.0,8,63,cardinal,1,11,42
0.0,8,63,linear,1,8,42
0.0,8,63,mlp,1,7,42
0.0,8,64,cardinal,1,3,42
0.0,8,64,linear,1,3,42
0.0,8,64,mlp,1,3,42
0.0,8,65,cardinal,1,2,35
0.0,8,65,linear,1,3,35
0.0,8,65,mlp,1,3,35
0.0,8,66,cardinal,1,6,56
0.0,8,66,linear,1,5,56
0.0,8,66,mlp,1,5,56
0.0,8,67,cardinal,1,2,32
0.0,8,67,linear,1,2,32
0.0,8,67,mlp,1,2,32
0.0,8,68,cardinal,1,11,46
0.0,8,68,linear,1,9,46
0.0,8,68,mlp,1,9,46
0.0,8,69,cardinal,1,3,34
0.0,8,69,linear,1,3,34
0.0,8,69,mlp,1,3,34
0.0,8,70,cardinal,1,3,36
0.0,8,70,linear,1,3,36
0.0,8,70,mlp,1,3,36
0.0,8,71,cardinal,1,90,48
0.0,8,71,linear,1,45,48
0.0,8,71,mlp,1,145,48
0.0,8,72,cardinal,1,4,48
0.0,8,72,linear,1,4,48
0.0,8,72,mlp,1,6,48
0.0,8,73,cardinal,1,3,60
0.0,8,73,linear,1,3,60
0.0,8,73,mlp,1,3,60
0.0,8,74,cardinal,1,3,48
0.0,8,74,linear,1,3,48
0.0,8,74,mlp,1,3,48
0.0,8,75,cardinal,1,5,47
0.0,8,75,linear,1,4,47
0.0,8,75,mlp,1,5,47
0.0,8,76,cardinal,1,1,37
0.0,8,76,linear,1,1,37
0.0,8,76,mlp,1,1,37
0.0,8,77,cardinal,1,1,49
0.0,8,77,linear,1,1,49
0.0,8,77,mlp,1,1,49
0.0,8,78,cardinal,1,3,38
0.0,8,78,linear,1,3,38
0.0,8,78,mlp,1,3,38
0.0,8,79,cardinal,1,7,43
0.0,8,79,linear,1,6,43
0.0,8,79,mlp,1,6,43
0.0,10,0,cardinal,1,3,48
0.0,10,0,linear,1,3,48
0.0,10,0,mlp,1,3,48
0.0,10,1,cardinal,1,6,57
0.0,10,1,linear,1,5,57
0.0,10,1,mlp,1,6,57
0.0,10,2,cardinal,1,5,56
0.0,10,2,linear,1,5,56
0.0,10,2,mlp,1,5,56
0.0,10,3,cardinal,1,9,51
0.0,10,3,linear,1,9,51
0.0,10,3,mlp,1,11,51
0.0,10,4,cardinal,1,12,46
0.0,10,4,linear,1,10,46
0.0,10,4,mlp,1,9,46
0.0,10,5,cardinal,1,6,55
0.0,10,5,linear,1,6,55
0.0,10,5,mlp,1,6,55
0.0,10,6,cardinal,1,4,63
0.0,10,6,linear,1,4,63
0.0,10,6,mlp,1,4,63
0.0,10,7,cardinal,1,13,69
0.0,10,7,linear,1,13,69
0.0,10,7,mlp,1,14,69
0.0,10,8,cardinal,1,10,54
0.0,10,8,linear,1,9,54
0.0,10,8,mlp,1,10,54
0.0,10,9,cardinal,1,6,52
0.0,10,9,linear,1,6,52
0.0,10,9,mlp,1,6,52
0.0,10,10,cardinal,1,4,64
0.0,10,10,linear,1,3,64
0.0,10,10,mlp,1,3,64
0.0,10,11,cardinal,1,4,46
0.0,10,11,linear,1,4,46
0.0,10,11,mlp,1,4,46
0.0,10,12,cardinal,1,3,58
0.0,10,12,linear,1,3,58
0.0,10,12,mlp,1,3,58
0.0,10,13,cardinal,1,6,49
0.0,10,13,linear,1,6,49
0.0,10,13,mlp,1,6,49
0.0,10,14,cardinal,1,3,47
0.0,10,14,linear,1,3,47
0.0,10,14,mlp,1,3,47
0.0,10,15,cardinal,1,2,44
0.0,10,15,linear,1,2,44
0.0,10,15,mlp,1,2,44
0.0,10,16,cardinal,1,28,54
0.0,10,16,linear,1,11,54
0.0,10,16,mlp,1,10,54
0.0,10,17,cardinal,1,9,56
0.0,10,17,linear,1,10,56
0.0,10,17,mlp,1,10,56
0.0,10,18,cardinal,1,14,50
0.0,10,18,linear,1,14,50
0.0,10,18,mlp,1,26,50
0.0,10,19,cardinal,1,13,49
0.0,10,19,linear,1,12,49
0.0,10,19,mlp,1,17,49
0.0,10,20,cardinal,1,4,48
0.0,10,20,linear,1,4,48
0.0,10,20,mlp,1,4,48
0.0,10,21,cardinal,1,19,64
0.0,10,21,linear,1,19,64
0.0,10,21,mlp,1,56,64
0.0,10,22,cardinal,1,3,68
0.0,10,22,linear,1,3,68
0.0,10,22,mlp,1,3,68
0.0,10,23,cardinal,1,6,69
0.0,10,23,linear,1,6,69
0.0,10,23,mlp,1,7,69
0.0,10,24,cardinal,1,10,58
0.0,10,24,linear,1,10,58
0.0,10,24,mlp,1,9,58
0.0,10,25,cardinal,1,4,54
0.0,10,25,linear,1,4,54
0.0,10,25,mlp,1,3,54
0.0,10,26,cardinal,1,5,48
0.0,10,26,linear,1,6,48
0.0,10,26,mlp,1,5,48
0.0,10,27,cardinal,1,6,55
0.0,10,27,linear,1,6,55
0.0,10,27,mlp,1,7,55
0.0,10,28,cardinal,1,27,52
0.0,10,28,linear,1,20,52
0.0,10,28,mlp,1,54,52
0.0,10,29,cardinal,1,4,61
0.0,10,29,linear,1,4,61
0.0,10,29,mlp,1,4,61
0.0,10,30,cardinal,1,6,62
0.0,10,30,linear,1,7,62
0.0,10,30,mlp,1,7,62
0.0,10,31,cardinal,1,20,59
0.0,10,31,linear,1,16,59
0.0,10,31,mlp,1,22,59
0.0,10,32,cardinal,1,5,56
0.0,10,32,linear,1,5,56
0.0,10,32,mlp,1,5,56
0.0,10,33,cardinal,1,2,53
0.0,10,33,linear,1,2,53
0.0,10,33,mlp,1,2,53
0.0,10,34,cardinal,1,8,58
0.0,10,34,linear,1,8,58
0.0,10,34,mlp,1,9,58
0.0,10,35,cardinal,1,5,60
0.0,10,35,linear,1,5,60
0.0,10,35,mlp,1,6,60
0.0,10,36,cardinal,1,4,53
0.0,10,36,linear,1,4,53
0.0,10,36,mlp,1,6,53
0.0,10,37,cardinal,1,7,58
0.0,10,37,linear,1,7,58
0.0,10,37,mlp,1,8,58
0.0,10,38,cardinal,1,24,46
0.0,10,38,linear,1,24,46
0.0,10,38,mlp,1,13,46
0.0,10,39,cardinal,1,19,62
0.0,10,39,linear,1,20,62
0.0,10,39,mlp,1,14,62
0.0,10,40,cardinal,1,39,58
0.0,10,40,linear,1,61,58
0.0,10,40,mlp,1,289,58
0.0,10,41,cardinal,1,6,54
0.0,10,41,linear,1,6,54
0.0,10,41,mlp,1,6,54
0.0,10,42,cardinal,1,45,47
0.0,10,42,linear,1,51,47
0.0,10,42,mlp,1,56,47
0.0,10,43,cardinal,1,8,68
0.0,10,43,linear,1,6,68
0.0,10,43,mlp,1,8,68
0.0,10,44,cardinal,1,27,48
0.0,10,44,linear,1,33,48
0.0,10,44,mlp,1,40,48
0.0,10,45,cardinal,1,7,64
0.0,10,45,linear,1,8,64
0.0,10,45,mlp,1,7,64
0.0,10,46,cardinal,1,11,59
0.0,10,46,linear,1,9,59
0.0,10,46,mlp,1,8,59
0.0,10,47,cardinal,1,6,54
0.0,10,47,linear,1,8,54
0.0,10,47,mlp,1,8,54
0.0,10,48,cardinal,1,8,60
0.0,10,48,linear,1,8,60
0.0,10,48,mlp,1,12,60
0.0,10,49,cardinal,1,4,63
0.0,10,49,linear,1,5,63
0.0,10,49,mlp,1,4,63
0.0,10,50,cardinal,1,4,50
0.0,10,50,linear,1,4,50
0.0,10,50,mlp,1,4,50
0.0,10,51,cardinal,1,18,48
0.0,10,51,linear,1,18,48
0.0,10,51,mlp,1,15,48
0.0,10,52,cardinal,1,5,53
0.0,10,52,linear,1,5,53
0.0,10,52,mlp,1,7,53
0.0,10,53,cardinal,1,5,53
0.0,10,53,linear,1,5,53
0.0,10,53,mlp,1,6,53
0.0,10,54,cardinal,1,9,51
0.0,10,54,linear,1,6,51
0.0,10,54,mlp,1,6,51
0.0,10,55,cardinal,1,5,59
0.0,10,55,linear,1,5,59
0.0,10,55,mlp,1,5,59
0.0,10,56,cardinal,1,12,51
0.0,10,56,linear,1,12,51
0.0,10,56,mlp,1,12,51
0.0,10,57,cardinal,1,10,50
0.0,10,57,linear,1,8,50
0.0,10,57,mlp,1,9,50
0.0,10,58,cardinal,1,324,58
0.0,10,58,linear,1,79,58
0.0,10,58,mlp,1,67,58
0.0,10,59,cardinal,1,18,58
0.0,10,59,linear,1,16,58
0.0,10,59,mlp,1,16,58
0.0,10,60,cardinal,1,9,53
0.0,10,60,linear,1,10,53
0.0,10,60,mlp,1,13,53
0.0,10,61,cardinal,1,20,50
0.0,10,61,linear,1,20,50
0.0,10,61,mlp,1,20,50
0.0,10,62,cardinal,1,3,55
0.0,10,62,linear,1,4,55
0.0,10,62,mlp,1,4,55
0.0,10,63,cardinal,1,12,48
0.0,10,63,linear,1,8,48
0.0,10,63,mlp,1,7,48
0.0,10,64,cardinal,1,10,48
0.0,10,64,linear,1,17,48
0.0,10,64,mlp,1,17,48
0.0,10,65,cardinal,1,16,43
0.0,10,65,linear,1,11,43
0.0,10,65,mlp,1,11,43
0.0,10,66,cardinal,1,8,74
0.0,10,66,linear,1,7,74
0.0,10,66,mlp,1,7,74
0.0,10,67,cardinal,1,2,34
0.0,10,67,linear,1,2,34
0.0,10,67,mlp,1,2,34
0.0,10,68,cardinal,1,33,63
0.0,10,68,linear,1,16,63
0.0,10,68,mlp,1,19,63
0.0,10,69,cardinal,1,7,41
0.0,10,69,linear,1,7,41
0.0,10,69,mlp,1,7,41
0.0,10,70,cardinal,1,4,46
0.0,10,70,linear,1,5,46
0.0,10,70,mlp,1,5,46
0.0,10,71,cardinal,1,209,62
0.0,10,71,linear,1,66,62
0.0,10,71,mlp,1,133,62
0.0,10,72,cardinal,1,6,60
0.0,10,72,linear,1,6,60
0.0,10,72,mlp,1,9,60
0.0,10,73,cardinal,1,5,63
0.0,10,73,linear,1,5,63
0.0,10,73,mlp,1,5,63
0.0,10,74,cardinal,1,7,59
0.0,10,74,linear,1,6,59
0.0,10,74,mlp,1,8,59
0.0,10,75,cardinal,1,204,63
0.0,10,75,linear,1,84,63
0.0,10,75,mlp,1,359,63
0.0,10,76,cardinal,1,1,46
0.0,10,76,linear,1,1,46
0.0,10,76,mlp,1,1,46
0.0,10,77,cardinal,1,7,63
0.0,10,77,linear,1,8,63
0.0,10,77,mlp,1,7,63
0.0,10,78,cardinal,1,4,51
0.0,10,78,linear,1,4,51
0.0,10,78,mlp,1,4,51
0.0,10,79,cardinal,1,10,53
0.0,10,79,linear,1,8,53
0.0,10,79,mlp,1,9,53
0.0,12,0,cardinal,1,4,63
0.0,12,0,linear,1,4,63
0.0,12,0,mlp,1,4,63
0.0,12,1,cardinal,1,18,73
0.0,12,1,linear,1,13,73
0.0,12,1,mlp,1,11,73
0.0,12,2,cardinal,1,9,62
0.0,12,2,linear,1,9,62
0.0,12,2,mlp,1,9,62
0.0,12,3,cardinal,1,9,65
0.0,12,3,linear,1,9,65
0.0,12,3,mlp,1,14,65
0.0,12,4,cardinal,1,66,55
0.0,12,4,linear,1,14,55
0.0,12,4,mlp,1,30,55
0.0,12,5,cardinal,1,12,62
0.0,12,5,linear,1,13,62
0.0,12,5,mlp,1,16,62
0.0,12,6,cardinal,1,5,76
0.0,12,6,linear,1,5,76
0.0,12,6,mlp,1,5,76
0.0,12,7,cardinal,1,15,77
0.0,12,7,linear,1,15,77
0.0,12,7,mlp,1,17,77
0.0,12,8,cardinal,1,60,64
0.0,12,8,linear,1,107,64
0.0,12,8,mlp,1,184,64
